1784,216,Credit,Carry Over Credit from 2010-2011 Academic year,2011-09-01,19,Carry Over Blocks
1785,147,Credit,Carry Over Credit from 2010-2011 Academic year,2011-09-01,39.5,Carry Over Blocks
1786,330,Charge,Carry Over Balance Due from 2010-2011 Academic year,2011-09-01,15.5,Carry Over Blocks
1787,149,Charge,Carry Over Balance Due from 2010-2011 Academic year,2011-09-01,52,Carry Over Blocks
1788,761,Credit,Carry Over Credit from 2010-2011 Academic year,2011-09-01,17,Carry Over Blocks
1789,902,Charge,Carry Over Balance Due from 2010-2011 Academic year,2011-09-01,14.5,Carry Over Blocks
1790,219,Charge,Carry Over Balance Due from 2010-2011 Academic year,2011-09-01,21,Carry Over Blocks
1791,291,Charge,Carry Over Balance Due from 2010-2011 Academic year,2011-09-01,54.5,Carry Over Blocks
1792,184,Charge,Carry Over Balance Due from 2010-2011 Academic year,2011-09-01,34,Carry Over Blocks
1793,100,Charge,Carry Over Balance Due from 2010-2011 Academic year,2011-09-01,382,Carry Over Blocks
1794,153,Charge,Carry Over Balance Due from 2010-2011 Academic year,2011-09-01,13,Carry Over Blocks
1795,255,Credit,Carry Over Credit from 2010-2011 Academic year,2011-09-01,26.5,Carry Over Blocks
1796,102,Credit,Carry Over Credit from 2010-2011 Academic year,2011-09-01,27,Carry Over Blocks
1797,293,Charge,Carry Over Balance Due from 2010-2011 Academic year,2011-09-01,34.5,Carry Over Blocks
1798,155,Credit,Carry Over Credit from 2010-2011 Academic year,2011-09-01,22,Carry Over Blocks
1799,188,Credit,Carry Over Credit from 2010-2011 Academic year,2011-09-01,14,Carry Over Blocks
1800,257,Credit,Carry Over Credit from 2010-2011 Academic year,2011-09-01,20,Carry Over Blocks
1801,110,Charge,Carry Over Balance Due from 2010-2011 Academic year,2011-09-01,67.5,Carry Over Blocks
1802,112,Charge,Carry Over Balance Due from 2010-2011 Academic year,2011-09-01,24.5,Carry Over Blocks
1803,261,Credit,Carry Over Credit from 2010-2011 Academic year,2011-09-01,30,Carry Over Blocks
1804,298,Credit,Carry Over Credit from 2010-2011 Academic year,2011-09-01,31,Carry Over Blocks
1805,229,Credit,Carry Over Credit from 2010-2011 Academic year,2011-09-01,32,Carry Over Blocks
1806,116,Credit,Carry Over Credit from 2010-2011 Academic year,2011-09-01,19.5,Carry Over Blocks
1807,118,Credit,Carry Over Credit from 2010-2011 Academic year,2011-09-01,12,Carry Over Blocks
1808,299,Charge,Carry Over Balance Due from 2010-2011 Academic year,2011-09-01,20.5,Carry Over Blocks
1809,755,Credit,Carry Over Credit from 2010-2011 Academic year,2011-09-01,28.5,Carry Over Blocks
1810,120,Credit,Carry Over Credit from 2010-2011 Academic year,2011-09-01,18.5,Carry Over Blocks
1811,194,Charge,Carry Over Balance Due from 2010-2011 Academic year,2011-09-01,22.2,Carry Over Blocks
1812,263,Credit,Carry Over Credit from 2010-2011 Academic year,2011-09-01,19,Carry Over Blocks
1813,196,Credit,Carry Over Credit from 2010-2011 Academic year,2011-09-01,17.8,Carry Over Blocks
1814,122,Credit,Carry Over Credit from 2010-2011 Academic year,2011-09-01,23.5,Carry Over Blocks
1815,265,Credit,Carry Over Credit from 2010-2011 Academic year,2011-09-01,182.1,Carry Over Blocks
1816,163,Credit,Carry Over Credit from 2010-2011 Academic year,2011-09-01,164.9,Carry Over Blocks
1817,198,Charge,Carry Over Balance Due from 2010-2011 Academic year,2011-09-01,60.5,Carry Over Blocks
1818,234,Charge,Carry Over Balance Due from 2010-2011 Academic year,2011-09-01,93.9,Carry Over Blocks
1819,126,Credit,Carry Over Credit from 2010-2011 Academic year,2011-09-01,12,Carry Over Blocks
1820,128,Credit,Carry Over Credit from 2010-2011 Academic year,2011-09-01,12,Carry Over Blocks
1821,351,Credit,Carry Over Credit from 2010-2011 Academic year,2011-09-01,15,Carry Over Blocks
1822,303,Charge,Carry Over Balance Due from 2010-2011 Academic year,2011-09-01,56,Carry Over Blocks
1823,270,Charge,Carry Over Balance Due from 2010-2011 Academic year,2011-09-01,41,Carry Over Blocks
1824,353,Charge,Carry Over Balance Due from 2010-2011 Academic year,2011-09-01,304,Carry Over Blocks
1825,355,Credit,Carry Over Credit from 2010-2011 Academic year,2011-09-01,31.5,Carry Over Blocks
1826,239,Credit,Carry Over Credit from 2010-2011 Academic year,2011-09-01,13,Carry Over Blocks
1827,203,Charge,Carry Over Balance Due from 2010-2011 Academic year,2011-09-01,135,Carry Over Blocks
1828,921,Charge,Carry Over Balance Due from 2010-2011 Academic year,2011-09-01,118,Carry Over Blocks
1829,133,Charge,Carry Over Balance Due from 2010-2011 Academic year,2011-09-01,277.9,Carry Over Blocks
1830,307,Credit,Carry Over Credit from 2010-2011 Academic year,2011-09-01,21,Carry Over Blocks
1831,243,Credit,Carry Over Credit from 2010-2011 Academic year,2011-09-01,36,Carry Over Blocks
1832,1437,Credit,Carry Over Credit from 2010-2011 Academic year,2011-09-01,19.5,Carry Over Blocks
1833,369,Charge,Carry Over Balance Due from 2010-2011 Academic year,2011-09-01,29.5,Carry Over Blocks
1834,311,Credit,Carry Over Credit from 2010-2011 Academic year,2011-09-01,32,Carry Over Blocks
1835,284,Charge,Carry Over Balance Due from 2010-2011 Academic year,2011-09-01,56,Carry Over Blocks
1836,375,Charge,Carry Over Balance Due from 2010-2011 Academic year,2011-09-01,32.5,Carry Over Blocks
1837,178,Charge,Carry Over Balance Due from 2010-2011 Academic year,2011-09-01,30,Carry Over Blocks
1838,250,Credit,Carry Over Credit from 2010-2011 Academic year,2011-09-01,80.2,Carry Over Blocks
1839,141,Credit,Carry Over Credit from 2010-2011 Academic year,2011-09-01,110.2,Carry Over Blocks
1840,315,Credit,Carry Over Credit from 2010-2011 Academic year,2011-09-01,159,Carry Over Blocks
1841,286,Credit,Carry Over Credit from 2010-2011 Academic year,2011-09-01,25,Carry Over Blocks
1842,380,Credit,Carry Over Credit from 2010-2011 Academic year,2011-09-01,100,Carry Over Blocks
1843,317,Credit,Carry Over Credit from 2010-2011 Academic year,2011-09-01,584.5,Carry Over Blocks
1844,212,Charge,Carry Over Balance Due from 2010-2011 Academic year,2011-09-01,61,Carry Over Blocks
1845,254,Credit,Carry Over Credit from 2010-2011 Academic year,2011-09-01,241.4,Carry Over Blocks
1846,179,Credit,Carry Over Credit from 2010-2011 Academic year,2011-09-01,56,Carry Over Blocks
1847,321,Charge,Carry Over Balance Due from 2010-2011 Academic year,2011-09-01,36.5,Carry Over Blocks
1848,320,Credit,Carry Over Credit from 2010-2011 Academic year,2011-09-01,28,Carry Over Blocks
1849,322,Credit,Carry Over Credit from 2010-2011 Academic year,2011-09-01,36.5,Carry Over Blocks
1850,3802,Credit,Carry Over Credit from 2010-2011 Academic year,2011-09-01,100,Carry Over Blocks
1851,3822,Credit,Carry Over Credit from 2010-2011 Academic year,2011-09-01,20,Carry Over Blocks
